Date,Pattern,CandleColor
2022-01-25,Spinning Top_Bullish,Green
2022-01-31,Long Line_Bullish,Green
2022-02-01,Hanging Man_Bearish,Green
2022-02-01,Harami_Bearish,Green
2022-02-02,Hanging Man_Bearish,Green
2022-02-04,Spinning Top_Bullish,Green
2022-02-07,Short Line_Bearish,Red
2022-02-07,Bullish Engulfing_Bearish,Red
2022-02-07,Bearish Engulfing_Bearish,Red
2022-02-08,Long Line_Bullish,Green
2022-02-08,Belt Hold_Bullish,Green
2022-02-09,Doji_Bullish,Green
2022-02-09,Dragonfly Doji_Bullish,Green
2022-02-09,Long Legged Doji_Bullish,Green
2022-02-09,Spinning Top_Bullish,Green
2022-02-09,Hanging Man_Bearish,Green
2022-02-09,Rickshaw Man_Bullish,Green
2022-02-09,Takuri_Bullish,Green
2022-02-11,Long Line_Bearish,Red
2022-02-14,Short Line_Bullish,Green
2022-02-15,Long Line_Bullish,Green
2022-02-16,Spinning Top_Bullish,Green
2022-02-16,Harami_Bearish,Green
2022-02-17,Long Line_Bearish,Red
2022-02-17,Three Inside Up/Down_Bearish,Red
2022-02-22,Spinning Top_Bearish,Red
2022-02-23,Long Line_Bearish,Red
2022-02-24,Long Line_Bullish,Green
2022-02-25,Hanging Man_Bearish,Green
2022-02-28,Short Line_Bullish,Green
2022-03-03,Short Line_Bearish,Red
2022-03-08,Spinning Top_Bearish,Red
2022-03-10,Hammer_Bullish,Red
2022-03-11,Long Line_Bearish,Red
2022-03-11,Marubozu_Bearish,Red
2022-03-11,Belt Hold_Bearish,Red
2022-03-15,Long Line_Bullish,Green
2022-03-15,X Side Gap Three Methods_Bearish,Green
2022-03-17,Short Line_Bullish,Green
2022-03-18,Long Line_Bullish,Green
2022-03-21,Short Line_Bullish,Green
2022-03-22,Long Line_Bullish,Green
2022-03-24,Long Line_Bullish,Green
2022-03-28,Long Line_Bullish,Green
2022-03-28,Marubozu_Bullish,Green
2022-03-28,Belt Hold_Bullish,Green
2022-03-29,Short Line_Bullish,Green
2022-03-30,Spinning Top_Bearish,Red
2022-03-31,Long Line_Bearish,Red
2022-03-31,Marubozu_Bearish,Red
2022-03-31,Belt Hold_Bearish,Red
2022-04-01,Doji_Bullish,Green
2022-04-01,Long Legged Doji_Bullish,Green
2022-04-01,Spinning Top_Bullish,Green
2022-04-01,On Neck_Bearish,Green
2022-04-04,Long Line_Bullish,Green
2022-04-04,Marubozu_Bullish,Green
2022-04-04,Belt Hold_Bullish,Green
2022-04-04,Morning Star_Bullish,Green
2022-04-04,Morning Doji Star_Bullish,Green
2022-04-06,Spinning Top_Bearish,Red
2022-04-07,Spinning Top_Bullish,Green
2022-04-11,Long Line_Bearish,Red
2022-04-11,Marubozu_Bearish,Red
2022-04-11,Belt Hold_Bearish,Red
2022-04-12,Spinning Top_Bearish,Red
2022-04-12,Harami_Bullish,Red
2022-04-12,Homing Pigeon_Bullish,Red
2022-04-13,Long Line_Bullish,Green
2022-04-13,Bullish Engulfing_Bullish,Green
2022-04-13,Bearish Engulfing_Bullish,Green
2022-04-13,Three Inside Up/Down_Bullish,Green
2022-04-14,Long Line_Bearish,Red
2022-04-14,Bullish Engulfing_Bearish,Red
2022-04-14,Bearish Engulfing_Bearish,Red
2022-04-18,Inverted Hammer_Bullish,Green
2022-04-18,On Neck_Bearish,Green
2022-04-18,Three Outside Up/Down_Bearish,Green
2022-04-19,Morning Star_Bullish,Green
2022-04-25,Hammer_Bullish,Green
2022-04-26,Long Line_Bearish,Red
2022-04-26,Marubozu_Bearish,Red
2022-04-26,Belt Hold_Bearish,Red
2022-04-27,On Neck_Bearish,Green
2022-04-28,Long Line_Bullish,Green
2022-04-28,Belt Hold_Bullish,Green
2022-04-28,Morning Star_Bullish,Green
2022-04-29,Tasukigap_Bullish,Red
2022-05-02,Hammer_Bullish,Green
2022-05-04,Long Line_Bullish,Green
2022-05-04,Marubozu_Bullish,Green
2022-05-04,Belt Hold_Bullish,Green
2022-05-05,Belt Hold_Bearish,Red
2022-05-06,Spinning Top_Bullish,Green
2022-05-09,Short Line_Bearish,Red
2022-05-10,Spinning Top_Bearish,Red
2022-05-12,Doji_Bullish,Red
2022-05-12,Long Legged Doji_Bullish,Red
2022-05-12,Spinning Top_Bearish,Red
2022-05-12,Rickshaw Man_Bullish,Red
2022-05-13,Short Line_Bullish,Green
2022-05-16,Doji_Bullish,Red
2022-05-16,Long Legged Doji_Bullish,Red
2022-05-16,Spinning Top_Bearish,Red
2022-05-16,Rickshaw Man_Bullish,Red
2022-05-17,Doji_Bullish,Green
2022-05-17,Dragonfly Doji_Bullish,Green
2022-05-17,Long Legged Doji_Bullish,Green
2022-05-17,Spinning Top_Bullish,Green
2022-05-17,Hanging Man_Bearish,Green
2022-05-17,Rickshaw Man_Bullish,Green
2022-05-17,Takuri_Bullish,Green
2022-05-18,Long Line_Bearish,Red
